1990-12-20-VsiZbor-s012-01,5400,1.5
1990-12-20-VsiZbor-z007-01,1500,0.4166666666666667
1990-12-20-ZbObc-s010-02,18300,5.083333333333333
1990-12-20-ZbZdruDel-s012-02,17700,4.916666666666667
1990-12-26-DruzPolZb-s010-03,21300,5.916666666666667
1990-12-26-VsiZbor-sl001-01,0,0.0
1990-12-26-ZbObc-s010-03,9600,2.6666666666666665
1990-12-26-ZbZdruDel-s012-03,9600,2.6666666666666665
1990-12-27-DruzPolZb-s010-04,26040,7.233333333333333
1990-12-27-ZbObc-s010-04,27000,7.5
1990-12-27-ZbZdruDel-s012-04,25200,7.0
1991-01-11-VsiZbor-s013-01,17100,4.75
1991-01-22-DruzPolZb-s010-05,16200,4.5
1991-01-23-DruzPolZb-s011-01,21000,5.833333333333333
1991-01-23-VsiZbor-s014-01,4200,1.1666666666666667
1991-01-23-ZbObc-s011-01,11400,3.1666666666666665
1991-01-23-ZbZdruDel-s013-01,22800,6.333333333333333
1991-01-24-DruzPolZb-s011-02,19800,5.5
1991-01-24-VsiZbor-z008-01,9900,2.75
1991-01-24-ZbObc-s011-02,18600,5.166666666666667
1991-01-24-ZbZdruDel-s013-02,20280,5.633333333333334
1991-01-29-DruzPolZb-s011-03,27600,7.666666666666667
1991-01-30-DruzPolZb-s011-04,12000,3.3333333333333335
1991-01-30-VsiZbor-z008-02,15300,4.25
1991-01-30-ZbObc-s011-03,7200,2.0
1991-01-30-ZbZdruDel-s013-03,12900,3.5833333333333335
1991-02-20-DruzPolZb-s012-01,15900,4.416666666666667
1991-02-20-VsiZbor-s015-01,9900,2.75
1991-02-20-ZbObc-s012-01,21900,6.083333333333333
1991-02-20-ZbZdruDel-s014-01,15780,4.383333333333334
1991-03-05-DruzPolZb-s013-01,22800,6.333333333333333
1991-03-05-VsiZbor-z009-01,1620,0.45
1991-03-05-ZbObc-s013-01,24600,6.833333333333333
1991-03-05-ZbZdruDel-s015-01,19500,5.416666666666667
