1990-05-16-VsiZbor-s002-01,['Bucar France'],['Murko Dejan'],"[['Bucar France', '1923'], ['Zakonjsek Joze', '1925'], ['Smole Joze', '1927'], ['Plesivcnik Drago', '1929'], ['Lukac Janez', '1931'], ['Aksentijevic Milan', '1935'], ['Seligo Rudi', '1935'], ['Zupancic Joze', '1936'], ['Tomsic France', '1937'], ['Potrc Miran', '1938'], ['Glavic Peter', '1940'], ['Schwartzbartl Ervin', '1940'], ['Starman Danijel', '1940'], ['Kocijancic Janez', '1941'], ['Arzensek Joze', '1942'], ['Perko Franc', '1942'], ['Toplak Ludvik', '1942'], ['Gros Vitomir', '1942'], ['Zagozen France', '1942'], ['Pivec Franc', '1943'], ['Pintar Emil Milan', '1944'], ['Bekes Peter', '1946'], ['Persak Anton', '1947'], ['Ribicic Ciril', '1947'], ['Seserko Leo', '1948'], ['Peterle Alojz', '1948'], ['Juri Aurelio', '1949'], ['Berlec Joze', '1949'], ['Oven Edvard', '1950'], ['Zlobec Jasa L', '1951'], ['Kreft Lev', '1951'], ['Magajna Andrej', '1952'], ['Potočnik Franc', '1955'], ['Juri Franco', '1956'], ['Setinc Mile', '1956'], ['Jansa Janez', '1958'], ['Suklje Borut', '1958'], ['Balazic Milan', '1958'], ['Skolc Jozef', '1960'], ['Vaupotic Bogomir', '1963'], ['Murko Dejan', '1967'], ['Lampret Janez', 'unknown'], ['Mencin Metka', 'unknown'], ['Vodopivec Ivan', 'unknown'], ['Zakelj Viktor', 'unknown'], ['Zagar Zvone', 'unknown'], ['Slejko Vladimir', 'unknown']]"
1990-06-13-DruzPolZb-s002-01,['Plesivcnik Drago'],['Pahor Borut'],"[['Plesivcnik Drago', '1929'], ['Pukl Vitodrag', '1930'], ['Buser Stanko', '1932'], ['Seligo Rudi', '1935'], ['Tomsic France', '1937'], ['Potrc Miran', '1938'], ['Voljc Bozidar', '1939'], ['Pozsonec Maria', '1940'], ['Kocijancic Janez', '1941'], ['Bastl Maks', '1941'], ['Toplak Ludvik', '1942'], ['Capuder Andrej', '1942'], ['Zagozen France', '1942'], ['Pivec Franc', '1943'], ['Pintar Emil Milan', '1944'], ['Bekes Peter', '1946'], ['Semolic Dusan', '1947'], ['Ribicic Ciril', '1947'], ['Persak Anton', '1947'], ['Lokar Sonja', '1948'], ['Kreft Lev', '1951'], ['Pirnat Rajko', '1951'], ['Magajna Andrej', '1952'], ['Gosnik Vane', '1953'], ['Battelli Roberto', '1954'], ['Potočnik Franc', '1955'], ['Juri Franco', '1956'], ['Anderlic Tone', '1956'], ['Setinc Mile', '1956'], ['Jansa Janez', '1958'], ['Podobnik Marjan', '1960'], ['Skolc Jozef', '1960'], ['Kopac Janez', '1961'], ['Thaler Zoran', '1962'], ['Pahor Borut', '1963'], ['Kuharic Bozo', 'unknown'], ['Valant Stane', 'unknown'], ['Kolesnik Ciril', 'unknown'], ['Verlic Andrej', 'unknown'], ['Lampret Janez', 'unknown'], ['Gerbec Franci', 'unknown'], ['Krevs Janez', 'unknown'], ['Martelanc Miha', 'unknown'], ['Zakelj Viktor', 'unknown'], ['Kolman Drago', 'unknown']]"
1990-06-13-VsiZbor-s003-01,['Bucar France'],['Thaler Zoran'],"[['Bucar France', '1923'], ['Gosnik Vane', '1953'], ['Setinc Mile', '1956'], ['Podobnik Marjan', '1960'], ['Thaler Zoran', '1962'], ['Markes Marija', 'unknown'], ['Verlic Andrej', 'unknown']]"
1990-06-13-ZbObc-s002-01,['Zakonjsek Joze'],['Bizjak Ivan'],"[['Zakonjsek Joze', '1925'], ['Atelsek Ivan', '1928'], ['Lukac Janez', '1931'], ['Rojec Anton', '1937'], ['Sonc Metod', '1938'], ['Partljic Anton', '1940'], ['Glavic Peter', '1940'], ['Schwartzbartl Ervin', '1940'], ['Klavora Fedja', '1940'], ['Bastl Maks', '1941'], ['Gros Vitomir', '1942'], ['Feltrin Franci', '1943'], ['Dezelak Janko', '1945'], ['Frelih Leopold', '1945'], ['Jez Matjaz', '1947'], ['Kramaric Tone', '1947'], ['Zunter Anton', '1949'], ['Dvornik Marjan', '1949'], ['Juri Aurelio', '1949'], ['Bizjak Ivan', '1956'], ['Debeljak Stanko', 'unknown'], ['Versaj Vili', 'unknown'], ['Ferenc Tone', 'unknown'], ['Stadler Marko', 'unknown'], ['Markic Alenka', 'unknown'], ['Svete Pavle', 'unknown'], ['Vodopivec Ivan', 'unknown'], ['Slejko Vladimir', 'unknown'], ['Urbancic Milos', 'unknown'], ['Ravbar Vojka', 'unknown']]"
1990-06-13-ZbZdruDel-s002-01,['Dretnik Ivan'],['Dular Tanja'],"[['Dretnik Ivan', '1921'], ['Mikus Dimitrij', '1927'], ['Malesic Matija', '1933'], ['Prelovec Valentin', '1934'], ['Aksentijevic Milan', '1935'], ['Drame Leopold', '1935'], ['Zupancic Joze', '1936'], ['Bolic Muharem', '1936'], ['Brglez Stanislav', '1936'], ['Slapernik Anton', '1937'], ['Daneu Ivo', '1937'], ['Mak Viljem', '1937'], ['Ban Franc', '1938'], ['Ledinek Pavel', '1939'], ['Pirs Jurij', '1939'], ['Kranjec Marko', '1940'], ['Bastl Maks', '1941'], ['Grasic Franc', '1941'], ['Puc Vlado', '1941'], ['Zidanik Anton', '1942'], ['Arzensek Joze', '1942'], ['Rode Primoz', '1942'], ['Starc Marjan', '1942'], ['Perko Franc', '1942'], ['Moge Rudi', '1944'], ['Zerovnik Angelca', '1944'], ['Rudolf Francek', '1944'], ['Lovrencic Franc', '1946'], ['Oblak Majda', '1946'], ['Rogina Bogo', '1947'], ['Keber Irena', '1947'], ['Avbersek Franc', '1947'], ['Loncar Marija', '1947'], ['Kovacic Bostjan', '1950'], ['Zlobec Jasa L', '1951'], ['Muren Andrej', '1953'], ['Krajec Mirko', '1954'], ['Smole Joze', '1955'], ['Studencnik Joze', '1956'], ['Sagadin Vlasta', '1957'], ['Ster Andrej', '1958'], ['Drca Vinko', '1960'], ['Dular Tanja', '1961'], ['Mlinar Martin', 'unknown'], ['', 'unknown'], ['Klemencic Andrej', 'unknown'], ['Graselli Andrej', 'unknown'], ['Pucko Danijel', 'unknown']]"
1990-06-14-DruzPolZb-s002-02,['Stanic Stane'],['Vaupotic Bogomir'],"[['Stanic Stane', '1926'], ['Smole Joze', '1927'], ['Pucnik Ivan', '1927'], ['Plesivcnik Drago', '1929'], ['Boh Katja', '1929'], ['Pukl Vitodrag', '1930'], ['Buser Stanko', '1932'], ['Seligo Rudi', '1935'], ['Rejc Izidor', '1936'], ['Tomsic France', '1937'], ['Potrc Miran', '1938'], ['Voljc Bozidar', '1939'], ['Pozsonec Maria', '1940'], ['Jazbinsek Miha', '1941'], ['Mencinger Joze', '1941'], ['Toplak Ludvik', '1942'], ['Zagozen France', '1942'], ['Puhar Jozica', '1942'], ['Osterc Jozef', '1942'], ['Pintar Emil Milan', '1944'], ['Persak Anton', '1947'], ['Semolic Dusan', '1947'], ['Peterle Alojz', '1948'], ['Tomazic Anton', '1950'], ['Lavtizar Bebler Darja', '1950'], ['Pirnat Rajko', '1951'], ['Kreft Lev', '1951'], ['Magajna Andrej', '1952'], ['Battelli Roberto', '1954'], ['Potočnik Franc', '1955'], ['Hobic Joze', '1955'], ['Juri Franco', '1956'], ['Umek Igor', '1956'], ['Setinc Mile', '1956'], ['Halb Janko', '1957'], ['Balazic Milan', '1958'], ['Suklje Borut', '1958'], ['Jansa Janez', '1958'], ['Podobnik Marjan', '1960'], ['Skolc Jozef', '1960'], ['Vaupotic Bogomir', '1963'], ['Krefl Ivan', 'unknown'], ['Zakelj Viktor', 'unknown'], ['Kmetic Slavko', 'unknown'], ['Kocbek Marjan', 'unknown'], ['Krizmancic Franc', 'unknown'], ['Kolman Drago', 'unknown'], ['Vidovic Zdenka', 'unknown'], ['Zagar Zvone', 'unknown'], ['Markes Marija', 'unknown'], ['Pelhan Sergij', 'unknown'], ['Markic Alenka', 'unknown'], ['Bitenc Pengov Tina', 'unknown'], ['Knez Joze', 'unknown']]"
1990-06-14-ZbObc-s002-02,['Franko Karel'],['Jamnik Alojz'],"[['Franko Karel', '1919'], ['Zakonjsek Joze', '1925'], ['Podversic Bruno', '1926'], ['Stanic Stane', '1926'], ['Atelsek Ivan', '1928'], ['Zampa Janez', '1929'], ['Lukac Janez', '1931'], ['Malesic Matija', '1933'], ['Stefancic Marcel', '1937'], ['Sonc Metod', '1938'], ['Klavora Fedja', '1940'], ['Starman Danijel', '1940'], ['Partljic Anton', '1940'], ['Metelko Alojz', '1940'], ['Schwartzbartl Ervin', '1940'], ['Glavic Peter', '1940'], ['Bastl Maks', '1941'], ['Gros Vitomir', '1942'], ['Feltrin Franci', '1943'], ['Protner Joze', '1944'], ['Dezelak Janko', '1945'], ['Frelih Leopold', '1945'], ['Mlaker Marjan', '1945'], ['Kuhar Ivan', '1945'], ['Stular Vojka', '1946'], ['Kramaric Tone', '1947'], ['Jez Matjaz', '1947'], ['Jug Janez', '1947'], ['Dvornik Marjan', '1949'], ['Zunter Anton', '1949'], ['Juri Aurelio', '1949'], ['Oven Edvard', '1950'], ['Bizjak Ivan', '1956'], ['Bevc Stanislav', '1956'], ['Potocnik Viktorija', '1957'], ['Jansa Janez', '1958'], ['Bozic Danijel', '1959'], ['Jamnik Alojz', '1963'], ['Stadler Marko', 'unknown'], ['Briski Andrej', 'unknown'], ['Lovsin Franc', 'unknown'], ['Vodopivec Ivan', 'unknown'], ['Pecar Jelka', 'unknown'], ['Flego Isabella', 'unknown'], ['Rezun Janez', 'unknown'], ['Struc Milan', 'unknown'], ['Markic Alenka', 'unknown'], ['Prijatelj Janez', 'unknown'], ['', 'unknown'], ['Jerkic Maver', 'unknown'], ['Knez Joze', 'unknown']]"
1990-06-14-ZbZdruDel-s002-02,['Dretnik Ivan'],['Jakic Roman'],"[['Dretnik Ivan', '1921'], ['Mikus Dimitrij', '1927'], ['Malesic Matija', '1933'], ['Prelovec Valentin', '1934'], ['Aksentijevic Milan', '1935'], ['Drame Leopold', '1935'], ['Zupancic Joze', '1936'], ['Ledinek Pavel', '1939'], ['Osterman Anka', '1940'], ['Grasic Franc', '1941'], ['Starc Marjan', '1942'], ['Zidanik Anton', '1942'], ['Perko Franc', '1942'], ['Vukovic Karel', '1942'], ['Osterc Jozef', '1942'], ['Moge Rudi', '1944'], ['Zerovnik Angelca', '1944'], ['Rudolf Francek', '1944'], ['Oblak Majda', '1946'], ['Avbersek Franc', '1947'], ['Remskar Janez', '1947'], ['Rogina Bogo', '1947'], ['Berlec Joze', '1949'], ['Kovacic Bostjan', '1950'], ['Zlobec Jasa L', '1951'], ['Toplek Danilo', '1952'], ['Muren Andrej', '1953'], ['Krajec Mirko', '1954'], ['Umek Igor', '1956'], ['Studencnik Joze', '1956'], ['Sagadin Vlasta', '1957'], ['Ster Andrej', '1958'], ['Jakic Roman', '1967'], ['Hocevar Bozo', 'unknown'], ['Prijatelj Janez', 'unknown'], ['Kidric Dusan', 'unknown'], ['Graselli Andrej', 'unknown'], ['Pucko Danijel', 'unknown'], ['Mlinar Martin', 'unknown'], ['Briski Andrej', 'unknown'], ['Drofenik Marija', 'unknown']]"
1990-07-02-DruzPolZb-s003-01,"['Smole Joze', 'Pucnik Ivan']","['Vaupotic Bogomir', 'Pahor Borut']","[['Smole Joze', '1927'], ['Pucnik Ivan', '1927'], ['Plesivcnik Drago', '1929'], ['Pukl Vitodrag', '1930'], ['Seligo Rudi', '1935'], ['Tomsic France', '1937'], ['Potrc Miran', '1938'], ['Voljc Bozidar', '1939'], ['Pozsonec Maria', '1940'], ['Hribar Spomenka', '1941'], ['Pipan Franc', '1941'], ['Toplak Ludvik', '1942'], ['Zagozen France', '1942'], ['Osterc Jozef', '1942'], ['Tomse Ivan', '1942'], ['Pivec Franc', '1943'], ['Semolic Dusan', '1947'], ['Ribicic Ciril', '1947'], ['Persak Anton', '1947'], ['Lokar Sonja', '1948'], ['Tomazic Anton', '1950'], ['Lavtizar Bebler Darja', '1950'], ['Kreft Lev', '1951'], ['Pirnat Rajko', '1951'], ['Gosnik Vane', '1953'], ['Battelli Roberto', '1954'], ['Potočnik Franc', '1955'], ['Bavcar Igor', '1955'], ['Juri Franco', '1956'], ['Suklje Borut', '1958'], ['Jansa Janez', '1958'], ['Podobnik Marjan', '1960'], ['Skolc Jozef', '1960'], ['Kopac Janez', '1961'], ['Pahor Borut', '1963'], ['Vaupotic Bogomir', '1963'], ['Zakelj Viktor', 'unknown'], ['Golija Franc', 'unknown'], ['Lampret Janez', 'unknown'], ['Grabner Alojz', 'unknown'], ['Vidovic Zdenka', 'unknown'], ['Kolesnik Ciril', 'unknown'], ['Gajsek Janez', 'unknown'], ['', 'unknown'], ['Zagar Zvone', 'unknown']]"
1990-07-02-VsiZbor-s004-01,['Bucar France'],['Pahor Borut'],"[['Bucar France', '1923'], ['Smole Joze', '1927'], ['Pucnik Ivan', '1927'], ['Gale Janez', '1931'], ['Buser Stanko', '1932'], ['Seligo Rudi', '1935'], ['Aksentijevic Milan', '1935'], ['Tomsic France', '1937'], ['Potrc Miran', '1938'], ['Pozsonec Maria', '1940'], ['Kocijancic Janez', '1941'], ['Hribar Spomenka', '1941'], ['Gros Vitomir', '1942'], ['Toplak Ludvik', '1942'], ['Persak Anton', '1947'], ['Ribicic Ciril', '1947'], ['Tomazic Anton', '1950'], ['Zlobec Jasa L', '1951'], ['Kreft Lev', '1951'], ['Pirnat Rajko', '1951'], ['Magajna Andrej', '1952'], ['Potočnik Franc', '1955'], ['Juri Franco', '1956'], ['Potocnik Viktorija', '1957'], ['Jansa Janez', '1958'], ['Suklje Borut', '1958'], ['Ster Andrej', '1958'], ['Bozic Danijel', '1959'], ['Podobnik Marjan', '1960'], ['Pahor Borut', '1963'], ['Zakelj Viktor', 'unknown'], ['Ocvirk Mojmir', 'unknown'], ['Kolesnik Ciril', 'unknown'], ['', 'unknown']]"
