DR. ANTON ŽIDANIK:,14580
FRANC GRADIŠAR:,14408
SLAVKO DRAGOVAN:,14182
DR. ANDREJ CAPUDER:,14139
ANDREJ VERLIČ:,14112
INGO PAŠ (republiški sekretariat za turizem in gostinstvo):,14094
MATJAŽ PESKAR:,14075
DR. TONE KOŠIR:,13715
ALEKSANDRA PRETNAR:,13403
VIKTOR BREZAR:,13152
MARIA POZSONEC:,13042
TONE ANDERLIČ:,12999
MILOŠ SENČUR:,12944
VLADO PUC:,12882
ZVONKO IVANUŠIČ:,12835
LOJZE JANKO:,12831
MAG. MITJA GASPARI:,12701
MARIJA MARKEŠ:,12676
GREGOR GOLOBIČ:,12569
BOGOMIR VAUPOTIČ:,12475
VLASTA SAGADIN:,12444
JURIJ PIRŠ:,12371
PETER JAMNIKAR:,12257
KAREL VUKOVIČ:,12033
MARIJA LONČAR:,11834
FRANC PIPAN:,11668
MARIJA FERLEŽ:,11668
BARBARA ZUPANC:,11431
DR. KATJA BOH:,11402
DR. LEO ŠEŠERKO:,11310
NEVENKA AHČAN:,11040
VILIJEM SEKEREŠ:,11016
IVAN MESIČEK:,10920
ANTON SLAPERNIK:,10864
MARKO JAKLIČ:,10833
VINKO DRČA:,10540
DRAGO KOLMAN:,10417
VILJEM MAK:,10234
JANEZ GAJŠEK:,10223
PETER REBERC:,10211
"PETER MARN (namestnik ministra Krajnca, RS za promet in zveze):",9775
JOŽE STUDENČNIK:,9708
JANEZ PRIJATELJ:,9610
JELKA PEČAR:,9541
STANE STANIČ:,9479
SLAVKO KMETIČ:,9440
ZDENKA VIDOVIČ:,9394
MILAN VOLK:,9327
MAG. BOŠTJAN KOVAČIČ:,9282
ANDREJ BRIŠKI:,9133
"JOŽE JERAJ, minister za trgovino:",8746
DR. PETER TANCING:,8606
BOŽO KUHARIČ:,8471
DR. JANEZ DRNOVŠEK:,8459
MUHAREM BOLIĆ:,8440
JANOS BUKOVEC:,7902
FRANCI GERBEC:,7863
JOŽE HOBIČ:,7823
ANDREJ ŽELEZNIK:,7440
MAKS BASTL:,7243
Dr. MARIJA MENCEJ:,7240
NEIDENTIFICIRANI GOVORNIK:,7161
MATJAŽ JEŽ:,7059
FRANC ZALAR:,7035
ANTON HORVAT:,6937
ALOJZ GRABNER:,6789
FRANC IMPERL:,6777
BORIS JEŽ:,6738
DANIJEL PUČKO:,6685
PAVEL LEDINEK:,6652
MIHAELA LOGAR:,6614
JANEZ REŽUN:,6390
MIHA KOZINC (minister za pravosodje):,6312
STANE ČEHOVIN:,6296
MAG. DANILO TOPLEK:,6281
MAG. FRANC KOVAČ:,6251
DR. DUŠAN KEBER:,6084
FRANC GODEŠA:,6046
IVAN BITENC:,6038
DR. DAVORIN KRAČUN:,5954
NIKO RAINER:,5943
DR. JANEZ DULAR:,5894
MILAN ŠTRUC:,5804
ALENKA OREL:,5719
DR. RINO SIMONETI:,5715
DR. BOJAN PRETNAR:,5667
DR. FRANCE ARHAR:,5616
SONJA AHČAN:,5328
MAG. IVAN LAPAJNE:,5208
MICHELE VOYER:,5186
BOJAN PEČENKO:,5053
IRENA DOBRAVC-TATALOVIĆ:,5024
ERVIN KOKOŠINEK:,4987
JOŽE FALKNER:,4953
MAG. VOJKA RAVBAR:,4717
METKA MENCEJ:,4707
MAG. MARKO VOLJČ:,4701
KSENIJA MIHOVAR-GLOBOKAR:,4683
SINIŠA MITROVIĆ:,4582
TATJANA PREŠERN:,4547
ALBIN DEBEVEC:,4472
MAG. HERMAN RIGELNIK:,4464
JOŽE SEDONJA:,4303
IVAN KREFL:,4244
GREGOR MIKLIČ:,4233
TOMAŽ KOŠIR:,4232
FRANC PLANINŠEK:,4191
ALOJZ JAMNIK:,4186
MAG. DRAŠKO VESELINOVIČ:,4054
ZVONKO DRAKSLER:,4049
MAJA ŠUBIC:,4032
ANTE MARKOVIĆ:,4021
TOMAŽ ŠTRUMBELJ:,3996
MARKO ŠTROVS:,3995
VEKOSLAV RAJH:,3880
DR. MIHA TOMŠIČ:,3841
RAJKO LESJAK:,3810
MAG. JULIJ NEMANIČ:,3717
DR. LJUBO BAVCON:,3713
DANILO BAŠIN:,3684
VLADIMIR DEJAN:,3669
DR. MARJAN MLAKER:,3666
FANI MLAKAR:,3614
JANEZ BREZNIK:,3567
MAG. DUŠAN FATUR:,3516
DR. MIHA BREJC:,3506
BRANKO GRIMS:,3425
DR. AVGUST MENCINGER:,3417
JOŽE ŠKETA:,3403
ŠTEFAN SKLEDAR:,3399
ANTON KUZMAN:,3288
DR. IVAN RIBNIKAR:,3285
JOŽE OLUP:,3244
DR. LJUBO JAKELJ:,3235
ISABELLA FLEGO:,3190
JERNEJ JAN:,3136
JOŽE JAKLIN:,3133
DR. IRENA KEBER:,3076
NEVEN BORAK:,3053
JOŽE ŠKOBERNE:,3022
MAG.IGOR OMERZA:,3006
MAG. ŠTEFAN KOROŠEC:,3005
JOŽE KNEZ:,2984
MILAN BREČKO:,2925
MIRKO FABČIČ:,2832
CIRIL BAŠKOVIČ:,2804
MARJAN VILFAN:,2787
MAG. BORIS GERL:,2781
JOŽICA VELIŠČEK:,2698
ANDREJ ENGELMAN:,2696
MAG. TONE ROP:,2614
PETER KRANER:,2608
DR. ANDREJ RANT:,2556
MARIJA FEDRAN:,2551
VILI ŽIŽEK:,2498
MIHA RAVNIK:,2483
JOŽEF PUŠNIK:,2477
JANEZ KREVS:,2413
BOŽO KOČEVAR:,2389
JOŽE RAKOVEC:,2383
DRAGO MEŽNAR:,2382
JOŽE VALENTIČ:,2358
STANISLAV BEVC:,2356
VILI VERŠAJ:,2312
MAG. DAGMAR ŠUSTER:,2301
MARJAN KNEZ:,2298
BOJAN DOLENC:,2262
MARTIN JAKŠE:,2234
DR. JOŽE PUČNIK:,2203
ALEKSANDER LOVEC:,2187
JELKA BARLIČ:,2130
PETER SUVOROV (Gospodarska zbornica):,2115
MARGARETA ATELŠEK:,2115
META ŠTOKA-DEBEVEC:,2102
IVAN REMŠKAR:,2057
MIROSLAV ZEMLJIČ: Predstavnik Izvršnega sveta na tem zboru.,2056
FRANC OGRIS:,1994
BRANKO BRAČKO:,1967
DR. ŠTEFAN BOJNEC:,1959
MIRA BITENC:,1952
ROMAN KLADOŠEK:,1930
LUDVIK KOTNIK:,1873
STANISLAV PETERLIN:,1873
ANDREJ GRASSELLI:,1857
JOŽE DROFENIK:,1809
TINA BITENC-PENGOV:,1795
DRAGO ŠTRUC:,1790
NADA BOLCAR:,1777
BOGOMIR KOŠAK:,1773
MAJA VOJNOVIČ:,1734
FRANC POČIVAVŠEK:,1724
ANDREJ KORENČAN:,1662
DR. BORIS PLESKOVIČ:,1619
MAG. MARJAN KOCBEK:,1618
ANDREJ KLEMENČIČ:,1615
MAG. VERICA TRSTENJAK:,1595
SONJA DRAŽIČ:,1564
TANJA DULAR:,1542
MATKO POHAR:,1537
FRANC (FERI) HORVAT:,1520
JANEZ TRČEK:,1512
BOGOMIR KOS:,1489
STANKO HVALE:,1445
JANEZ GALE:,1430
NEVENKA LEKŠE:,1430
DR. BORIS STROHSACK:,1425
MIHAELA BAUMAN:,1423
MILAN CVIKL:,1399
EDO KAVČIČ: (Železarna Jesenice - Sindikat):,1383
TATJANA KRIVIC-TAVČAR:,1341
STANKO GREGUREC:,1237
METKA ODERLAP:,1227
DUŠANKA STRIČEVIČ:,1227
PRIMOŽ BAJEC:,1225
TATJANA PETRIČEK:,1217
DR. MARKO DEMŠAR:,1206
DR. SREČKO ZAKRAJŠEK:,1181
BOŠTJAN M. ZUPANČIČ:,1172
ALBERT VODOVNIK:,1170
MAVER JERKIČ:,1130
MARINO DOMIO:,1098
LADISLAV HORVAT:,1087
DR. PETER TIŠLER:,1084
DR. MAKS TAJNIKAR:,1074
BRUNO PODVERŠIČ:,1048
MARKO SIMONITI:,1043
JOŽE ZUPANC:,1033
MARIJA BEZOVŠEK:,1031
"MILAN UTROŠA, predstavnik Zveze svobodnih sindikatov Slovenije:",1023
ALBIN KAC:,1011
CIRIL ZLOBEC:,1006
JOŽE KRAMAR:,1003
DUŠAN REBOLJ:,997
NATAŠA POBEGA:,990
DR. RAFAEL KAPŠ:,974
SERGIJ PELHAN:,964
MARKO HERMAN:,949
JANEZ GOSPODINJAČKI:,944
ŠTEFAN LEBAR:,940
STANISLAV KRAMBERGER:,936
DUŠAN HOČEVAR:,926
TINE BABNIK:,917
NIVES MARINČEK:,915
LOJZE ŠOSTER:,891
MAG. JOŽE ŠANTOVEC:,889
ZORAN BIZJAK:,875
JANEZ ERJAVEC:,861
BOJAN UŠENIČNIK:,854
MAJDA SLOKAN:,847
PAVEL SEDOVNIK:,844
DR. SLAVKO GABER:,836
BRANKO MEDIK:,835
DARJA JURJEC:,831
SILVO BERDAJS:,795
DAVORIN VALENTINČIČ:,786
DEJAN PERŠOLJA:,781
DR. MARJAN ROŽIČ:,780
RASTKO PLOHL:,776
DR. DUŠAN PLUT:,751
FRANC KRIŽMANIČ:,749
MILENA ZEMLJIČ:,745
LEOPOLD FRELIH:,745
JANEZ KRAMBERGER:,744
SONJA TRAUNŠEK:,742
DIMITRIJ ADOLF MIKUŠ:,735
DR. MATJAŽ KMECL:,706
DR. BORIS SKET:,704
"DR. PAVEL ZGAGA, namestnik ministra za šolstvo in šport:",697
MAG. MIROSLAV GREGORIČ:,681
PETER MARN:,672
MAG. MIHAILO MADŽAROVIČ:,670
JANEZ STARIHA:,666
JANEZ JERINA:,655
MIRAN TRONTELJ:,640
DR. SR\AN BAVDEK:,630
JANEZ ISKRA:,629
DR. ALOJZ KRIŽMAN,612
FRANCKA STRMOLE-HLASTEC:,608
JANI ALIČ:,605
TONE HREN:,604
MITJA ŠKOF:,599
JOŽE GRDADOLNIK:,596
"RENATO KRAJNC, direktor Urada Vlade Republike Slovenije za priseljevanje in begunce:",595
JASNA KISOVEC:,579
MIRKO FAPČIČ:,576
JOŽE GUBENŠEK:,574
ADRIJANA KOVAČIČ:,566
JOŽE SMOLE:,560
MIRA BECELE:,549
MARJAN ŠIRAJ:,535
JOŽE SINTIČ:,509
ANDREJ BABIČ:,488
MIRAN JUS:,487
EMIL ZAKONJŠEK:,482
ERIH ŠERBEC:,481
MARJAN JEMEC:,477
DEJAN VLADIMIR:,466
BOŽO HOČEVAR:,463
JOŽE VIDE:,452
IVANKA IVANUŠIČ:,450
BOŽO TRUDEN:,444
OLGA MARINKO:,432
LUDNIK GUMILAR:,425
MIHA MARTELANC:,416
DUŠAN KIDRIČ:,414
