IVAN KREFL:,43
IGOR UMEK:,404
IVAN PUČNIK:,150
IZIDOR REJC:,409
STANE STANIČ:,73
DARJA LAVTIŽAR-BEBLER:,496
MAG. MARJAN KOCBEK:,27
SLAVKO KMETIČ:,79
JOŽE KNEZ:,43
DR. JOŽE OSTERC:,364
ZDENKA VIDOVIČ:,81
DR. JOŽE MENCINGER:,338
JOŽICA PUHAR:,717
JANEZ ŽAMPA:,414
BRUNO PODVERŠIČ:,10
MAG. JOŽE PROTNER:,202
DR. MARJAN MLAKER:,35
STANISLAV BEVC:,39
IVAN KUHAR:,422
JANEZ REŽUN:,67
ALOJZIJ METELKO:,209
MILAN ŠTRUC:,58
ALOJZ JAMNIK:,59
VOJKA ŠTULAR:,274
MAG. JANEZ JUG:,237
MAVER JERKIČ:,16
ISABELLA FLEGO:,45
ANDREJ BRIŠKI:,82
JANEZ PRIJATELJ:,62
JELKA PEČAR:,97
MAG. MARIJA DROFENIK:,3
DUŠAN KIDRIČ:,3
MAG. DANILO TOPLEK:,55
DR. JANEZ REMŠKAR:,282
BOŽO HOČEVAR:,3
ANKA OSTERMAN:,525
FRANC GOLIJA:,251
IGOR BAVČAR:,237
FRANC PIPAN:,135
JANEZ GAJŠEK:,104
ALOJZ GRABNER:,55
JANEZ GALE:,22
ERVIN KOKOŠINEK:,71
BORIS JEŽ:,86
JOŽE FALKNER:,48
MILOŠ SENČUR:,221
MATJAŽ PESKAR:,173
NIKO RAINER:,54
BRANKO NOVAK:,194
IVAN MESIČEK:,114
ALBIN KAC:,10
FRANC PLANINŠEK:,54
TOMAŽ PAVŠIČ:,204
MAG. SLAVKO DEBELAK:,325
VILIJEM SEKEREŠ:,129
STANISLAV ERŽEN:,2
NIKO VLADIMIROV:,2
DR. ALOJZ KRIŽMAN,5
SILVO BERDAJS:,10
PETER KRANER:,32
DANILO BAŠIN:,35
MARTINA LIPPAI:,224
JOŽE KOŠAK:,1
JOŽE TRATNIK:,188
BOŠTJAN M. ZUPANČIČ:,8
DAVORIN BIZJAK:,192
DR. DUŠAN PLUT:,16
MAG. BORIS GERL:,37
MAG. VERICA TRSTENJAK:,27
GREGOR MIKLIČ:,49
IGNAC POLAJNAR:,425
CIRIL ZLOBEC:,6
NADA BOLCAR:,20
DR. CVETKO GRADIŠAR:,331
JANOS BUKOVEC:,96
JOŽE SEDONJA:,44
MARIJA FEDRAN:,42
SLAVKO DRAGOVAN:,223
TOMAŽ ŠTRUMBELJ:,64
ANDREJ ŽELEZNIK:,103
DR. ANDREJ RANT:,24
MAG. FRANC KOVAČ:,88
DR. VLADIMIR KORUN:,4
DR. JANEZ DULAR:,67
JOŽE JAKLIN:,39
ALEKSANDER LOVEC:,29
BARBARA ZUPANC:,106
"SONJA TRAMŠEK, predstavnica Izvršnega sveta:",7
JOŽE ŠKETA:,32
