gap,Glas iz dvorane nejasno.
gap,ugovor predsednika Zupančiča.
gap,Vmes iz klopi.
gap,vmes govorjenje iz klopi
gap,"govori iz klopi, ni razločno!"
gap,Vmes govorjenje iz klopi.
gap,vmes govorjenje iz klopi
gap,"Ne sliši se dobro, ker se je verjetno pomotoma vključil kak drug govornik."
gap,Se ne sliši.
gap,Se ne sliši razprave Miloša Senčurja.
gap,Nekdo se oglaša iz klopi.
gap,vmes govorjenje iz klopi
gap,šepetaje: Kako se že piše? Odgovor.
gap,ni vključen.
gap,govori iz klopi in se ne sliši.
gap,"Vmes govori nekdo iz klopi, a se ne sliši."
gap,Medklic iz klopi
gap,Medklici.
gap,intervencija iz dvorane. - se ne sliši.
gap,Reakcija v dvorani.
gap,Odgovor iz klopi.
gap,Govorjenje iz klopi.
gap,Nekaj okoli tega kako gospod minister gleda Braca Rotarja in kako Braco Rotar gleda gospoda ministra.
gap,Iz klopi se oglašajo poslanci.
gap,Pripombe iz klopi.
gap,Nekdo govori iz klopi.
gap,Ponovno se oglaša iz klopi.
gap,Glasovi iz dvorane.
gap,Govori iz klopi.
gap,Vprašanja iz klopi.
gap,Iz dvorane nekaj Ciril Ribičič - se ne sliši.
gap,Vpraševanje iz klopi.
gap,Ugovor delegata Magajne iz klopi; nejasno.
gap,Odgovor iz dvorane - se ne sliši.
gap,Ugovori iz dvorane.
gap,Še glasovi iz dvorane.
gap,Še ugovori iz dvorane.
gap,Ugovori iz dvorane.
gap,Pripombe iz dvorane.
gap,Sledi nejasen posnetek.
gap,nekdo v ozadju
gap,Tiho dogovarjanje.
gap,"se ne razume, ker posnetek večkratno odmeva"
gap,"Se ne sliši, ker govori iz klopi."
gap,Glasovi iz dvorane.
gap,delegati klepetajo
gap,Medklici.
gap,Govorijo v ozadju.
gap,Nekdo iz klopi nekaj predlaga.
gap,komentar iz dvorane ni razumljiv
gap,Medklic iz klopi
gap,Medklic iz klopi.
gap,glasovi v dvorani
gap,Vmes tiha pripomba neke gospe.
gap,Še pripomba iz klopi.
gap,Še pripombe iz klopi.
gap,Glasovi iz dvorane.
gap,Glas iz klopi.
gap,"Razpravljalec iz klopi, ni vključen in se ga ne razume."
gap,Iz klopi govori gospod Brglez in je nerazumljivo.
gap,"iz klopi, delegat ni vključen"
gap,iz klopi
gap,Iz klopi nerazumljivo.
gap,govorijo v ozadju
gap,nek delegat govori v klopi
gap,Nek delegat govori iz klopi.
gap,iz klopi
gap,nejasno
gap,Razprava v dvorani.
gap,nerazumljivo
gap,.........
gap,Nerazumljivo.
gap,"ni vključen, govori v ozadju"
gap,.....
gap,ni vključen - nekdo v ozadju
gap,"govori iz klopi, pa ni vključen"
gap,"Iz klopi govori gospod Gros, vendar je nerazumljivo."
gap,"Neidentificiran razpravljalec iz klopi, ni vključen!"
gap,Iz klopi: nerazumljivo.
gap,Nerazumljivo iz klopi
gap,Darja Lavtižar-Bebler: - govori iz klopi.
gap,Iz klopi: nerazumljivo.
gap,Iz klopi nekdo nekaj sprašuje.
gap,Gospod Glavič govori iz klopi in ni razumljivo.
gap,Iz klopi nekdo nekaj sprašuje.
gap,"Vmes nekdo govori iz dvorane, ampak se ne sliši"
gap,"Iz klopi govori nekdo nekaj, nerazumljivo."
gap,Še nekaj govori iz klopi isti delegat.
gap,Nekdo govori iz klopi.
gap,Iz dvorane - se ne sliši
gap,iz dvorane - se ne sliši.
gap,"Viljem Mak govori iz klopi, nerazumljivo."
gap,"Gospod Mak zopet govori iz klopi, nerazumljivo."
gap,"Gospod Muren govori iz klopi, nerazumljivo."
gap,"Iz klopi, se ne razume."
gap,Iz klopi: se ne sliši
gap,"Gospod Gros nekaj govori iz klopi, se ne razume."
gap,"Komentar iz klopi, se ne sliši."
gap,"Iz klopi nekdo govori, je nejasno."
gap,Nekdo nekaj sprašuje iz klopi.
gap,nerazumljive besede
gap,Franc Lovrenčič govori iz klopi - se ne sliši.
gap,"govori iz klopi, se ne sliši."
gap,Iz klopi nekdo nekaj govori.
gap,Komentar iz klopi - se ne sliši.
gap,Medklic iz dvorane - se ne sliši
gap,"Iz klopi, verjetno gospod Brglez - nekako o tem, da ne morejo našteti pet držav .."
gap,nekdo se oglaša iz klopi
gap,Iz klopi Emil Milan Pintar - se ne sliši.
gap,Govor v dvorani - več jih govori.
gap,Pintar govori iz klopi.
gap,Delegati govorijo iz klopi.
gap,nekdo govori iz klopi
gap,Na magnetofonskem traku besedila ni slišati.
gap,nekdo govori iz klopi
gap,Iz klopi nekdo govori.
gap,Iz klopi nekdo govori.
gap,Govori v ozadju nekaj besed.
gap,Nekdo govori iz klopi.
gap,Iz klopi nekdo govori.
gap,Nekdo govori iz klopi.
gap,Gospod Atelšek govori iz klopi. Je nerazumljivo.
gap,gospod Atelšek govori iz klopi
gap,Nerazumljivo iz klopi.
gap,"Nekdo se oglaša iz dvorane, pa se ga ne sliši."
gap,Nekdo se oglaša iz klopi.
gap,.......
gap,Iz klopi ima nekdo pripombo!
gap,Iz klopi zopet nekdo nekaj sprašuje.
gap,Še vedno pripomba iz klopi.
gap,iz dvorane se ne razloči
gap,predsednik ga prekinja ...
gap,Glas iz klopi.
gap,Vmes vzklik iz klopi.
gap,nerazumljivo
gap,govori iz klopi
gap,iz klopi
gap,"Nekdo iz dvorane, se pa ne sliši."
gap,nekdo govori iz klopi
gap,Glas iz klopi.
gap,Glasovi iz klopi.
gap,Glasovi v dvorani.
gap,Glas iz dvorane.
gap,"Se ne razume, ker govori iz klopi."
gap,Iz klopi: .....
gap,"Lovrenčič pojasnjuje, da je tako zapisano, kar je povedal in da gre v bistvu za preveč administriranja."
gap,Iz klopi: nerazumljivo.
gap,Iz klopi: nerazumljivo.
gap,.............
gap,Gospod Umek govori klopi in se ne razume.
gap,Nekdo govori iz klopi in se ne razume.
gap,Iz klopi nekdo nekaj sprašuje.
gap,"Se ne sliši, ker govorita eden čez drugega dr. Toplak-Potrč"
gap,Potrč govori iz klopi
